,lambda_beta,kappa_sigma,horizon,stable_share,unstable_periods,max_spectral_radius,mean_tci,final_tci,mean_net_BTC,mean_net_SJC,mean_net_VNINDEX,final_net_BTC,final_net_SJC,final_net_VNINDEX
baseline_0999,0.999,0.96,10.0,0.9812583668005355,14.0,1.0268512230532167,7.924120423783818,2.244863559757789,2.875909667727521,2.2209986538756956,-5.0969083216032125,-1.5648422429111797,1.9368427201041039,-0.37200047719291307
robustness_0997,0.997,0.96,10.0,0.9397590361445783,45.0,1.029332310020569,8.88112919135992,2.0016672964984252,2.228399470217847,1.7012287021264454,-3.929628172344289,-1.6816983481052983,0.27299017287636396,1.4087081752289343
kappa_094,0.999,0.94,10.0,0.9745649263721553,19.0,1.0263334776979758,9.45552003821974,1.63852998680745,3.4442043098638218,3.177976101556163,-6.622180411419982,-1.5482306573285531,1.1285413669111177,0.4196892904174243
kappa_098,0.999,0.98,10.0,0.9892904953145917,8.0,1.0293650773178786,5.981151038921044,3.4131492224884092,1.4519348698074015,1.1489312696318608,-2.6008661394392596,-2.339202665019946,1.1990140612632372,1.14018860375672
horizon_05,0.999,0.96,5.0,0.9812583668005355,14.0,1.0268512230532167,5.028899420877656,0.9167230501720266,1.5440854611179062,0.683192538667939,-2.2272779997858425,-0.44562140939460315,0.2891373612249004,0.15648404816970274
horizon_20,0.999,0.96,20.0,0.9812583668005355,14.0,1.0268512230532167,13.26220614376212,5.546339639815234,3.5958725935380813,5.748420625828906,-9.344293219366984,-4.08121068048427,7.058497645108608,-2.9772869646243594
