Date,spectral_radius,stable
2023-08-02,0.9621128568634426,True
2023-08-03,0.9601928195317845,True
2023-08-04,0.9541845050797537,True
2023-08-07,0.9516673602695332,True
2023-08-08,0.9496643249201631,True
2023-08-09,0.9489082120208506,True
2023-08-10,0.9501678312691484,True
2023-08-11,0.9513396664091662,True
2023-08-14,0.9505503184555606,True
2023-08-15,0.9498523782958672,True
2023-08-16,0.9499446672397138,True
2023-08-17,0.9510544212801989,True
2023-08-18,0.9706396793669559,True
2023-08-21,0.9839488771670871,True
2023-08-22,0.9766781522550699,True
2023-08-23,0.9746017301089821,True
2023-08-24,0.9754471663197544,True
2023-08-25,0.9745673915204123,True
2023-08-28,0.973286688872588,True
2023-08-29,0.9697538920786047,True
2023-08-30,0.9724553263222554,True
2023-08-31,0.9719701994194304,True
2023-09-05,0.9820643378315712,True
2023-09-06,0.9797405147096437,True
2023-09-07,0.9754388547835509,True
2023-09-08,0.9733711534298882,True
2023-09-11,0.975059795018503,True
2023-09-12,0.9769714446368403,True
2023-09-13,0.9750967271854011,True
2023-09-14,0.9745518509274083,True
2023-09-15,0.9728006803508364,True
2023-09-18,0.9710051065620415,True
2023-09-19,0.9743150540091572,True
2023-09-20,0.9704908159272014,True
2023-09-21,0.9665029818770526,True
2023-09-22,0.9685745995448528,True
2023-09-25,0.9662007155749761,True
2023-09-26,0.9644279275270501,True
2023-09-27,0.9627876856893601,True
2023-09-28,0.959455157597996,True
2023-09-29,0.9590289766121796,True
2023-10-02,0.9575567494112819,True
2023-10-03,0.9578644282164344,True
2023-10-04,0.9496881647238609,True
2023-10-05,0.9503068044752248,True
2023-10-06,0.9508316125329699,True
2023-10-09,0.9502287091542537,True
2023-10-10,0.9566825840963556,True
2023-10-11,0.9536188900740984,True
2023-10-12,0.9559928604176617,True
2023-10-13,0.9646113976856727,True
2023-10-16,0.9592292601345274,True
2023-10-17,0.967691801332851,True
2023-10-18,0.961454246142851,True
2023-10-19,0.9538039000498292,True
2023-10-20,0.9455232456039324,True
2023-10-23,0.9631244848504462,True
2023-10-24,0.9788832305828344,True
2023-10-25,0.9763947339944251,True
2023-10-26,0.9753351864296314,True
2023-10-27,0.9807740020184481,True
2023-10-30,0.9736206012798575,True
2023-10-31,0.9718312172637615,True
2023-11-01,0.9681951270195842,True
2023-11-02,0.9637651593339462,True
2023-11-03,0.9648955422278784,True
2023-11-06,0.9644050052690418,True
2023-11-07,0.969820288202946,True
2023-11-08,0.9610453298225593,True
2023-11-09,0.9648872220930553,True
2023-11-10,0.9632591977633541,True
2023-11-13,0.9615107622930892,True
2023-11-14,0.9648223553061258,True
2023-11-15,0.9684312587079769,True
2023-11-16,0.9687331885032823,True
2023-11-17,0.9734084030303666,True
2023-11-20,0.9723849069234913,True
2023-11-21,0.9692117917979411,True
2023-11-22,0.9762926785357068,True
2023-11-23,0.9906282298537031,True
2023-11-24,0.9796848759813629,True
2023-11-27,0.9735080617875803,True
2023-11-28,0.9804160619025591,True
2023-11-29,1.0048678256309849,False
