Date,BTC,SJC,VNINDEX
2023-08-02,0.5184080640686872,-1.257872667769866,0.7394646037011898
2023-08-03,-0.2658107488151984,-0.9433715872096293,1.2091823360248388
2023-08-04,0.13315435398191244,-0.9761513242772635,0.842996970295351
2023-08-07,0.1290018747538424,-0.9526933714505637,0.8236914966967213
2023-08-08,0.12637816480122188,-0.9436430839924292,0.8172649191912185
2023-08-09,0.06574260478626748,-0.9368511036755622,0.8711084988892837
2023-08-10,0.12848306259632958,-0.9541776614857889,0.8256945988894593
2023-08-11,0.19047779068526172,-0.9934619159944091,0.8029841253091363
2023-08-14,0.19070756777678222,-0.99805905229986,0.8073514845230889
2023-08-15,0.20469813916565993,-0.9813941689280958,0.7766960297624137
2023-08-16,0.19899147321793542,-0.9771469669843325,0.7781554937663859
2023-08-17,0.14498026178062506,-0.9257946583303145,0.7808143965497116
2023-08-18,0.4274496031255848,-0.4938069958843272,0.06635739275875352
2023-08-21,12.255728337107486,-2.50395187364425,-9.751776463463246
2023-08-22,12.687597853279065,-1.2868388304607903,-11.400759022818264
2023-08-23,12.706505891290607,-1.1560100022005027,-11.550495889090106
2023-08-24,12.887879516826727,-1.5229551751586579,-11.364924341668093
2023-08-25,12.841676496651234,-1.5498676382336485,-11.291808858417584
2023-08-28,12.854799318367661,-1.6389211311992558,-11.215878187168427
2023-08-29,13.080419020116919,-1.8584734548822035,-11.221945565234716
2023-08-30,11.979443373652577,-1.781117733609272,-10.198325640043304
2023-08-31,11.832822034872702,-1.715348576565745,-10.117473458306959
2023-09-05,9.192319848365804,-1.3574380554612686,-7.834881792904557
2023-09-06,8.778470019688346,-1.7041313923796486,-7.074338627308697
2023-09-07,9.08936503086406,-2.2476028651729596,-6.841762165691112
2023-09-08,8.893778145383413,-2.4533674063861755,-6.440410738997248
2023-09-11,8.531095985150117,-1.3785844185879026,-7.152511566562203
2023-09-12,9.024737206837452,-1.4398800718393723,-7.584857134998057
2023-09-13,8.914333608677016,-1.6248246375893172,-7.289508971087722
2023-09-14,8.985533958357017,-1.5743713729047148,-7.411162585452291
2023-09-15,9.019263012204105,-1.6703650615812804,-7.348897950622802
2023-09-18,9.27550937026982,-1.8031873415967237,-7.472322028673095
2023-09-19,9.263415361216197,-1.8425508156611814,-7.420864545555006
2023-09-20,9.429160234698353,-1.9416485044279064,-7.487511730270457
2023-09-21,9.741154783517413,-2.1344552746087375,-7.606699508908664
2023-09-22,9.967206668323636,-2.0687247291049538,-7.898481939218682
2023-09-25,9.396363898097482,-2.2372122028475494,-7.159151695249932
2023-09-26,7.130221140805705,-2.5705649263056074,-4.559656214500086
2023-09-27,6.976207256374133,-2.323501419176943,-4.65270583719718
2023-09-28,7.288064290755658,-1.7988649268400492,-5.489199363915599
2023-09-29,7.395163052824749,-1.5944445304522992,-5.800718522372439
2023-10-02,7.80182512606361,-1.6082867632430276,-6.1935383628205605
2023-10-03,7.932080804847509,-1.5726560709700022,-6.359424733877495
2023-10-04,2.403415548834453,-1.3707187195638015,-1.0326968292706402
2023-10-05,2.5085405957849587,-1.5210192979530524,-0.9875212978319059
2023-10-06,2.9310260237328527,-1.6014256765906398,-1.3296003471422013
2023-10-09,3.034363395439366,-1.4408217825490288,-1.5935416128903253
2023-10-10,2.895807562019559,-1.7499679458391149,-1.1458396161804325
2023-10-11,3.0928465073170264,-2.0175679433083626,-1.0752785640086633
2023-10-12,2.2366582605221836,-2.1439365663192267,-0.09272169420294674
2023-10-13,2.5678209117852235,0.30689353591665247,-2.874714447701887
2023-10-16,3.996062399437861,0.4791942603936894,-4.475256659831528
2023-10-17,4.306330372440992,0.29134757119897436,-4.597677943639967
2023-10-18,2.9982390984918394,0.1768303248727343,-3.1750694233645738
2023-10-19,2.062477426572085,0.1897339794996178,-2.252211406071725
2023-10-20,1.6241341347098985,0.23551699448043362,-1.8596511291903095
2023-10-23,1.9241320657315764,-0.01102172465068385,-1.9131103410808925
2023-10-24,6.3819474275454535,0.20217719652111388,-6.584124624066567
2023-10-25,6.143091692250224,0.20601945491178775,-6.3491111471620005
2023-10-26,6.398697014453413,0.15926867631916863,-6.557965690772594
2023-10-27,3.0164927189882067,-1.8563259492189177,-1.160166769769277
2023-10-30,3.170449792836594,-0.6958692500909636,-2.474580542745641
2023-10-31,2.632884170550442,-0.5989328202778088,-2.033951350272623
2023-11-01,1.7549216875288987,-0.43061487091662354,-1.3243068166122636
2023-11-02,1.8713296247519824,-0.03353422279382956,-1.8377954019581426
2023-11-03,1.9967500720417424,-0.04510978044254266,-1.9516402915991877
2023-11-06,2.05953174723208,-0.07601697062041834,-1.9835147766116608
2023-11-07,2.255323840003753,0.010653435437624204,-2.2659772754413776
2023-11-08,3.0405600377762414,-0.3289275947013559,-2.711632443074885
2023-11-09,2.67687987956422,0.12662656421871255,-2.8035064437829327
2023-11-10,2.638584680404854,0.030310340151529225,-2.6688950205563944
2023-11-13,2.7111611536055125,0.017617617166187927,-2.7287787707717004
2023-11-14,1.355249641816092,-0.1306107116630706,-1.2246389301529992
2023-11-15,-0.4619460564674549,-0.25331444113688706,0.7152604976043531
