Date,BTC,SJC,VNINDEX
2023-08-02,0.5178734799627271,1.370071328019662,0.9052875978065367
2023-08-03,0.6177374677076575,1.064961119950314,0.34161344079935985
2023-08-04,0.19050436608557542,1.065643664310123,0.3078507330675939
2023-08-07,0.17105081640718112,1.0357628133354613,0.2893751513718401
2023-08-08,0.1624847945647767,1.0185585366122574,0.282132342335939
2023-08-09,0.15938805178888904,1.0185134959615039,0.2228112885965361
2023-08-10,0.15446845031906742,1.0285892922511364,0.27416939744617785
2023-08-11,0.14729738326624275,1.0611009217707745,0.32266049763117755
2023-08-14,0.14634694025399408,1.0599300249953814,0.3238714129961684
2023-08-15,0.1618089893612784,1.0428881079128427,0.36023434629615103
2023-08-16,0.1643615984633251,1.0428981994513253,0.35808276712586684
2023-08-17,0.17785897291421326,1.027818077145859,0.32446982596235907
2023-08-18,1.1163871633485312,1.1086489916205866,1.467858231713226
2023-08-21,2.029190697915839,3.1062726001015006,13.852922983676175
2023-08-22,2.2473870449001176,2.032208371375932,14.586446621309923
2023-08-23,2.3891476235081255,1.928228686639577,14.767331058432042
2023-08-24,2.3236040909139777,2.213733140191143,14.813874918161563
2023-08-25,2.367575298825342,2.2170358829028958,14.800908047137595
2023-08-28,2.461427833381935,2.2535833715769282,14.885374400140316
2023-08-29,2.595380145159387,2.38629132600221,15.21551166934001
2023-08-30,2.1601060994357657,2.4316358198943733,13.778428641486972
2023-08-31,2.2766766228210833,2.3076697221128706,13.721788021477344
2023-09-05,2.048349550452666,2.220778208023444,10.943179251731138
2023-09-06,1.8941089751410844,2.554886164597092,10.397264727781064
2023-09-07,1.8520029006143468,3.0740933660969194,10.64827832579911
2023-09-08,2.038762674502126,3.2499813626235663,10.623521337439145
2023-09-11,2.1315579334069246,2.172079427814577,10.314400673792967
2023-09-12,2.223366900526036,2.2722147760192657,10.925681863517521
2023-09-13,2.3477018079023693,2.439964762134106,10.943690148360275
2023-09-14,2.334891602143707,2.298561320001191,11.006740927071856
2023-09-15,2.202393185588536,2.2940495386952753,10.907011117420174
2023-09-18,2.4342397972678897,2.3800793787290053,11.387859127142441
2023-09-19,2.1336372688412153,2.2306972988660467,11.234604004095628
2023-09-20,2.179146340268723,2.3083046595252066,11.425888601415235
2023-09-21,2.2969944550043198,2.4434598201020896,11.820179196675639
2023-09-22,2.563402838178719,2.4217210713792348,12.281158892921706
2023-09-25,1.8084004536889076,2.4732576080515045,10.93808872294787
2023-09-26,1.3652688631040855,2.7203573092071442,8.176845423003831
2023-09-27,1.5043047324211911,2.4687482170969055,8.150701756519751
2023-09-28,1.7025844222000153,1.9359595488644965,8.600913095818164
2023-09-29,1.6363012297919144,1.7425900073148703,8.625581082474676
2023-10-02,1.7540961433432423,1.7628109013278603,9.113824756520883
2023-10-03,1.8081786001621247,1.7266848074414476,9.314799006117248
2023-10-04,3.0050601871685845,1.4808186336917162,4.907017139462566
2023-10-05,2.9659556755333605,1.6249676912395539,4.995784623815169
2023-10-06,2.6020653645528857,1.6996138353482904,5.051518974953773
2023-10-09,2.625620928431427,1.5422827116248872,5.142604293641028
2023-10-10,2.414955471157032,1.8688224317490842,4.954273381000817
2023-10-11,2.4093310200451246,2.1108925824391944,5.033876276203852
2023-10-12,2.7062892262261773,2.2778386316883448,4.519202772864784
2023-10-13,2.4895602188618415,0.4338736485514416,5.4735064879792406
2023-10-16,1.8539731613325339,0.4987454984621831,6.410767601956858
2023-10-17,2.1195704641234103,0.42803785813159134,6.838372183127939
2023-10-18,2.0910742237091107,0.41358907049414695,5.352053325343054
