Date,spectral_radius,stable,TCI,NET_BTC,NET_SJC,NET_VNINDEX
2023-11-29,1.013382381196571,False,15.499080861459499,-9.642309392834846,-13.043368819860968,22.685678212695827
2023-12-26,1.0158934202808867,False,12.137641121643272,-0.6468301224827222,14.549414822588481,-13.90258470010576
2023-12-27,1.0107540990512796,False,12.86320578296867,-2.0135102889169314,16.809306334235064,-14.79579604531813
2023-12-28,1.0050717133430809,False,12.501035516065244,0.10467633739579263,17.0258764182893,-17.13055275568508
2023-12-29,1.0220093773615135,False,14.70120910401693,-2.360778720767132,24.445101023897973,-22.084322303130854
2024-01-02,1.0268512230532167,False,15.333635656886804,-2.9873441592536016,26.140573051672558,-23.153228892418937
2024-01-03,1.017708500712665,False,15.845207836974476,-3.8242187791486586,28.05239611336745,-24.228177334218756
2024-01-04,1.0171231615703433,False,16.762480732929177,-5.288987249671251,28.886511372063982,-23.59752412239272
2024-01-05,1.0119614742712442,False,15.803058380738284,-3.2700853859628287,28.56227412884117,-25.292188742878327
2024-01-08,1.0027727220581346,False,14.42352769350154,-0.13713599501645746,27.81168437854363,-27.67454838352716
2024-01-09,1.0041728117664315,False,14.853611287586132,-1.3340969422572453,28.779228758188438,-27.445131815931177
2024-01-10,1.002969194787676,False,14.708218040824036,-0.9822480122615005,28.932822959022065,-27.950574946760575
2024-01-15,1.0029868131170103,False,15.438239095240766,8.967686712076818,24.84944121094852,-33.81712792302535
2024-01-16,1.0023895001145346,False,15.081469964160021,8.189655970264287,24.799524395576775,-32.98918036584105
