Date,BTC,SJC,VNINDEX
2023-08-02,0.984378367320482,-3.9151833591706713,2.930804991850189
2023-08-03,-0.7113104618127752,-2.583021552652409,3.2943320144651844
2023-08-04,-0.16514212309104437,-2.8053474231146347,2.970489546205679
2023-08-07,-0.2219985697791138,-2.7245592469808733,2.946557816759976
2023-08-08,-0.24982787891870695,-2.7030304685719764,2.9528583474907055
2023-08-09,-0.33716280982171165,-2.6594713880110255,2.996634197832737
2023-08-10,-0.24629815379820785,-2.7476356615569686,2.9939338153551764
2023-08-11,-0.12678556340454117,-2.9132229460400283,3.0400085094445695
2023-08-14,-0.1243029757053482,-2.9367328078031885,3.0610357835085478
2023-08-15,-0.02524375662475986,-2.925012364490287,2.950256121115058
2023-08-16,-0.05222680344449948,-2.8968969936729816,2.949123797117492
2023-08-17,-0.29059197806837744,-2.6333624995181437,2.9239544775865545
2023-08-18,0.6445007740262465,-1.7394736839937202,1.0949729099674843
2023-08-21,30.609963665071493,-11.696292952567067,-18.913670712504405
2023-08-22,28.006081648847914,-5.065359617520416,-22.9407220313275
2023-08-23,27.003928861331392,-4.399588699380197,-22.604340161951196
2023-08-24,27.71502998237689,-6.012951842167235,-21.702078140209657
2023-08-25,27.27690861907317,-6.065819099373526,-21.211089519699645
2023-08-28,26.958615723397482,-6.402305551358223,-20.55631017203926
2023-08-29,27.252689552666908,-7.294147774623561,-19.958541778043358
2023-08-30,25.51534265992629,-6.879134235802809,-18.63620842412346
2023-08-31,25.165501499850684,-6.741970254039509,-18.423531245811166
2023-09-05,23.93043424879815,-5.76048889981814,-18.169945348980008
2023-09-06,22.304993606027935,-7.263519119046936,-15.04147448698101
2023-09-07,22.542210534925132,-9.880407759645603,-12.66180277527953
2023-09-08,21.974893810131444,-11.066593109671242,-10.908300700460227
2023-09-11,21.236825734938193,-6.86784369373078,-14.368982041207412
2023-09-12,21.599983374283546,-7.3143260415699185,-14.285657332713608
2023-09-13,21.21309554157147,-8.231118156347428,-12.981977385224043
2023-09-14,21.600541205822577,-8.088437799209071,-13.512103406613509
2023-09-15,21.97777371547631,-8.47770578437208,-13.500067931104242
2023-09-18,22.33362565821968,-9.232166149580712,-13.101459508638968
2023-09-19,20.8184084742516,-6.9613877631584105,-13.857020711093192
2023-09-20,21.60981750649353,-7.6893266432526035,-13.920490863240907
2023-09-21,22.85359409741473,-8.989253690520526,-13.864340406894204
2023-09-22,23.25393422135025,-8.939426543908901,-14.314507677441359
2023-09-25,22.83137298102831,-9.075157749465223,-13.756215231563097
2023-09-26,16.936850788982838,-9.746194385126817,-7.190656403856023
2023-09-27,16.0443555487011,-8.832439061420406,-7.211916487280654
2023-09-28,16.21174371280936,-6.732184497052807,-9.47955921575654
2023-09-29,16.627383040741673,-6.148142431920622,-10.479240608821037
2023-10-02,17.32824430075133,-6.382848242844852,-10.945396057906478
2023-10-03,17.021956261226244,-5.942942985848743,-11.079013275377502
2023-10-04,3.243647496988311,-6.285602038760885,3.0419545417725846
2023-10-05,3.3060070482834654,-6.746619035955325,3.440611987671849
2023-10-06,4.653742262609349,-7.221587016277409,2.5678447536680906
2023-10-09,4.9888354973926194,-6.819923646644788,1.8310881492522135
2023-10-10,2.6049519202597455,-5.27196817660216,2.6670162563424142
2023-10-11,3.59918288672414,-6.878377676103819,3.2791947893797033
2023-10-12,1.5944407044588882,-7.428213406492622,5.833772702033723
2023-10-13,-0.01739215590146337,2.0586946182110433,-2.0413024623095577
2023-10-16,5.701625854903082,2.2489523869952066,-7.950578241898299
2023-10-17,5.078803511500718,1.9102594843988796,-6.989062995899564
2023-10-18,4.112236327019747,1.1995461614466851,-5.311782488466431
2023-10-19,2.261475854028605,0.9598059700141715,-3.2212818240427428
2023-10-20,1.2555281348991763,0.6866747359327796,-1.9422028708319665
2023-10-23,2.0336408246999227,0.7433527050537347,-2.77699352975368
2023-10-24,15.904197536630349,1.787687306026875,-17.691884842657224
2023-10-25,14.7925137779926,1.955594722494491,-16.748108500487092
2023-10-26,15.176274989498715,1.7330601544115471,-16.90933514391025
2023-10-27,6.391949816046472,-4.145835802220999,-2.2461140138254736
2023-10-30,6.031754010036305,-1.206120616454709,-4.825633393581597
2023-10-31,4.734552407199578,-1.0981929988089445,-3.6363594083906445
2023-11-01,2.6466688975495085,-0.854448322725132,-1.7922205748243663
2023-11-02,2.7364169132751535,0.09580266763941081,-2.832219580914563
2023-11-03,3.0769034958987076,0.10590873287299463,-3.1828122287716685
2023-11-06,3.1767367582070216,0.010005285243730455,-3.1867420434507405
2023-11-07,3.1462945566783205,0.3606439701070663,-3.506938526785386
2023-11-08,6.051480680264342,-0.6972439170400357,-5.354236763224286
2023-11-09,5.2570826996941715,0.5444940045920443,-5.801576704286205
2023-11-10,5.1722761812574625,0.3277662503568646,-5.500042431614316
2023-11-13,5.49372740734082,0.28926817237409086,-5.782995579714923
2023-11-14,2.5492657775626935,0.029770815462104583,-2.5790365930248083
2023-11-15,-1.1202417386584678,-0.11763982505688109,1.2378815637153373
2023-11-16,-6.583651989565709,-1.1626328018823462,7.746284791448078
2023-11-17,-11.024876407276587,-1.8344714841101455,12.859347891386742
2023-11-20,-9.708230624810877,-0.4823789897351327,10.190609614545973
2023-11-21,-10.274287049367315,-2.824178417239807,13.098465466607134
2023-11-22,-6.6444753707152735,-1.670912854774842,8.315388225490128
2023-11-23,-7.5283624241256355,-21.40551439411329,28.933876818238936
2023-11-24,-3.1357324950241576,-24.916029465698397,28.05176196072257
2023-11-27,-3.0987832847496612,-21.65683568868434,24.755618973434004
2023-11-28,-3.923282203270329,-21.476620213660212,25.399902416930555
2023-11-29,-13.275040583446117,-12.614998323777627,25.890038907223726
2023-11-30,-4.417082711216324,-10.115040662274668,14.532123373491011
2023-12-01,-0.2738404084813517,-9.7109278077969,9.984768216278272
2023-12-04,0.6803779882397016,-8.547830270061807,7.867452281822107
2023-12-05,0.9363664535936955,-11.310874790608617,10.374508337014921
2023-12-06,-1.221561977913609,-8.784496092326288,10.006058070239888
2023-12-07,1.609793184834075,-8.20578883161761,6.595995646783546
2023-12-08,1.8149303119563882,-7.472691168419445,5.657760856463057
2023-12-11,3.3297959956957612,-7.318840339258525,3.989044343562796
2023-12-12,14.048780266887253,-15.933273318997397,1.8844930521101606
2023-12-13,14.411844804127004,-15.170623193379429,0.7587783892524236
2023-12-14,14.171100501769928,-14.441633247089834,0.27053274531992955
2023-12-15,14.00401517428076,-11.988533687907722,-2.0154814863730515
2023-12-18,13.662440061298065,-10.830031859758826,-2.832408201539227
2023-12-19,13.54128155830332,-10.410724984184295,-3.1305565741190264
2023-12-20,13.223147599205175,-7.791943310139693,-5.431204289065494
2023-12-21,10.774792650597531,-4.487469686939283,-6.287322963658271
2023-12-22,14.341733001201117,-4.883012829167633,-9.458720172033463
2023-12-25,8.492358520666532,10.691033943664097,-19.183392464330616
2023-12-26,2.0956335641273522,29.36960314941436,-31.465236713541714
