,value
lambda_beta,0.999
kappa_sigma,0.94
horizon,10.0
stable_share,0.9745649263721553
unstable_periods,19.0
max_spectral_radius,1.0263334776979758
mean_tci,9.45552003821974
final_tci,1.63852998680745
mean_net_BTC,3.4442043098638218
mean_net_SJC,3.177976101556163
mean_net_VNINDEX,-6.622180411419982
final_net_BTC,-1.5482306573285531
final_net_SJC,1.1285413669111177
final_net_VNINDEX,0.4196892904174243
