Date,spectral_radius,stable,TCI,NET_BTC,NET_SJC,NET_VNINDEX
2023-11-29,1.0152422288684764,False,16.03305426343047,-9.729395040635636,-14.195778140953175,23.925173181588814
2023-12-26,1.0184724625302508,False,12.595203833908158,-1.604966708722844,15.91651610331831,-14.311549394595469
2023-12-27,1.0124553021230767,False,13.342256690177551,-3.0793106390315073,18.06738951822058,-14.98807887918907
2023-12-28,1.0061998600893054,False,12.927560006171484,-0.7818015655178812,18.133351548844033,-17.35154998332615
2023-12-29,1.024358070089031,False,15.18089476337714,-3.2325894464952274,25.931960189936486,-22.699370743441257
2024-01-02,1.029332310020569,False,15.755435647388305,-3.8261306542642366,27.522769572280836,-23.696638918016603
2024-01-03,1.0190574277204492,False,16.23619679310089,-4.747290699804352,29.169429505368136,-24.422138805563797
2024-01-04,1.0180775470384256,False,17.153335523020342,-6.426293451828112,29.92920182202594,-23.50290837019782
2024-01-05,1.0125128154717637,False,16.12855541390749,-4.2965248204777104,29.47044351974639,-25.17391869926868
2024-01-08,1.0027816021519267,False,14.666717120873168,-1.0363355507973395,28.688293575097877,-27.651958024300537
2024-01-09,1.0041953389182323,False,15.106141968316477,-2.252961596334991,29.64534036348272,-27.392378767147726
2024-01-10,1.002899763397258,False,14.9420037705278,-1.8810669716687656,29.76365187214627,-27.88258490047751
2024-01-15,1.0026092451795636,False,15.49773419822401,7.716103046407131,25.81164877753634,-33.52775182394349
2024-01-16,1.0019765395793427,False,15.092546206036376,6.85057350986047,25.755368978700545,-32.60594248856101
2025-04-17,1.0200602575140862,False,7.8816992354710855,-7.569475634613354,2.052398893709938,5.517076740903426
2025-04-18,1.0157301708845643,False,7.334435517062453,-4.535444251179077,-0.4454045049477209,4.980848756126789
2025-04-21,1.011532868964934,False,7.2796721530417825,-2.910101048349345,-1.7817757511988992,4.691876799548245
2025-04-22,1.0086513484333295,False,7.244019769837933,-2.265551120364006,-2.1560101594571783,4.421561279821196
2025-04-23,1.0142480410466468,False,7.059625800435605,-3.107946192471,1.6726225768772363,1.4353236155937754
2025-04-24,1.0116417432717375,False,7.0370695345659655,-1.6844996602813023,0.15207996331390028,1.532419696967402
2025-04-25,1.008152245038833,False,7.44798218447023,-0.6311894475078415,-1.0662573162962934,1.6974467638041446
2025-04-28,1.0038418403776,False,8.207500573384204,0.4006096512352286,-2.154737211800505,1.7541275605652764
2025-04-29,1.0009023864353963,False,8.870878593981383,1.3125297178681823,-3.0907202677760264,1.7781905499078654
2025-05-05,1.0001780634269206,False,9.016260169965491,1.3812067854839682,-3.354926984392092,1.9737201989081132
2025-07-08,1.0005511241491498,False,10.204290367921589,2.9995971035226443,-5.855272455032701,2.855675351510035
2025-07-09,1.0014857400698305,False,10.054131816912903,2.5574964321723677,-5.653095350343007,3.095598918170639
2025-07-10,1.001713999679676,False,10.008331175358169,2.4112240875599813,-5.5948930544647,3.18366896690474
2025-07-11,1.0011689786269067,False,9.970355390746422,2.474807203458896,-5.577155595775286,3.102348392316401
2025-07-14,1.0019389424821727,False,10.013905634926527,2.656255997954748,-5.789510919092011,3.133254921137251
2025-07-15,1.002163251693215,False,9.936426262789498,2.4028883886606405,-5.606260569883004,3.203372181222397
2025-07-16,1.0011900485193679,False,10.186870075565258,2.438978861045749,-5.9688582818990135,3.5298794208532875
2025-07-17,1.001925654011368,False,9.963873211055615,2.4223768166937845,-5.904857689674415,3.48248087298062
2025-07-18,1.0029171326655346,False,10.027697458997077,3.1029001897749584,-6.298263532308301,3.19536334253333
2025-07-21,1.0027057951280838,False,9.921645958234514,2.9568461906505306,-5.961140316392199,3.00429412574168
2025-07-22,1.0025920592983542,False,9.158066238783794,2.2433096392256555,-5.905869254682505,3.662559615456873
2025-07-23,1.0028327305620288,False,8.944943698139829,2.4243681031797193,-5.998087975608546,3.5737198724288373
2025-07-24,1.0027589134204715,False,8.839802312099755,2.2645753380782114,-5.669102595189601,3.4045272571114005
2025-07-25,1.0030382884213624,False,8.717033384733163,1.9131046579795807,-5.212010175766158,3.298905517786599
2025-07-28,1.0034885393684496,False,8.924426320991126,2.286848559842648,-5.490071257096797,3.2032226972541693
2025-07-29,1.0043215224092503,False,8.29765397195854,2.4475279968122035,-5.449563127478619,3.002035130666414
2025-07-30,1.0019170549092522,False,8.208496921345874,-0.15810664906293903,-21.341616311599985,21.49972296066294
2026-02-03,1.0008341573582924,False,22.94028784357025,1.9502733364953997,31.466750632453277,-33.417023968948676
2026-02-04,1.005637324440233,False,22.430322134954242,0.4844135885456957,23.534185446624356,-24.01859903517005
2026-02-05,1.002051482257764,False,20.388282306315734,-2.7756855944011747,22.128402438667027,-19.35271684426584
2026-02-06,1.0015895290803294,False,11.779651588478288,-9.047020520672655,20.26444167304362,-11.217421152370964
