,value
lambda_beta,0.997
kappa_sigma,0.96
horizon,10.0
stable_share,0.9397590361445783
unstable_periods,45.0
max_spectral_radius,1.029332310020569
mean_tci,8.88112919135992
final_tci,2.0016672964984252
mean_net_BTC,2.228399470217847
mean_net_SJC,1.7012287021264454
mean_net_VNINDEX,-3.929628172344289
final_net_BTC,-1.6816983481052983
final_net_SJC,0.27299017287636396
final_net_VNINDEX,1.4087081752289343
