Date,spectral_radius,stable
2023-08-02,0.9621128568634426,True
2023-08-03,0.9601880554058017,True
2023-08-04,0.954113470726441,True
2023-08-07,0.9515693255300297,True
2023-08-08,0.9495329784452682,True
2023-08-09,0.948761474414106,True
2023-08-10,0.9501348273962066,True
2023-08-11,0.951397349437145,True
2023-08-14,0.9505423597844573,True
2023-08-15,0.9497894445186278,True
2023-08-16,0.949916186712575,True
2023-08-17,0.9512431255009273,True
2023-08-18,0.9744614275380635,True
2023-08-21,0.9863354096070708,True
2023-08-22,0.978380726833949,True
2023-08-23,0.976313564584855,True
2023-08-24,0.9778073221724936,True
2023-08-25,0.9769272078544314,True
2023-08-28,0.9757294385726436,True
2023-08-29,0.9719944902934555,True
2023-08-30,0.9742070816862629,True
2023-08-31,0.9740226504555198,True
2023-09-05,0.983333759161897,True
2023-09-06,0.9811120137917618,True
2023-09-07,0.9772481156622311,True
2023-09-08,0.9754868608913146,True
2023-09-11,0.9774563513913991,True
2023-09-12,0.9786805348569639,True
2023-09-13,0.976652015279103,True
2023-09-14,0.9762779818994488,True
2023-09-15,0.9743522152799045,True
2023-09-18,0.9723658706798892,True
2023-09-19,0.9783991053846233,True
2023-09-20,0.972119354188769,True
2023-09-21,0.9667664431443147,True
2023-09-22,0.9684637555674773,True
2023-09-25,0.9655085858220394,True
2023-09-26,0.9625001826896493,True
2023-09-27,0.9605450282308319,True
2023-09-28,0.9561961325635984,True
2023-09-29,0.955569579259589,True
2023-10-02,0.9538876357960432,True
2023-10-03,0.9546738755475376,True
2023-10-04,0.9435115632018646,True
2023-10-05,0.9443142405062991,True
2023-10-06,0.9452458063912987,True
2023-10-09,0.9446292784864675,True
2023-10-10,0.9527208762538356,True
2023-10-11,0.9468158608956347,True
2023-10-12,0.9491719533285788,True
2023-10-13,0.965677882181891,True
2023-10-16,0.957038332172924,True
2023-10-17,0.9685478405272581,True
2023-10-18,0.9613312095528781,True
2023-10-19,0.9513857501041046,True
2023-10-20,0.9403630922353812,True
2023-10-23,0.9649576436726813,True
2023-10-24,0.9811782822097337,True
2023-10-25,0.9759460685194732,True
2023-10-26,0.9748279456154706,True
2023-10-27,0.9848563915444964,True
2023-10-30,0.9744093650681319,True
2023-10-31,0.9723450594837736,True
2023-11-01,0.9684441009922502,True
2023-11-02,0.9623418608357849,True
2023-11-03,0.9635707094893222,True
2023-11-06,0.9631006929820558,True
2023-11-07,0.9727431724354701,True
2023-11-08,0.9600060398087312,True
2023-11-09,0.9678146937516091,True
2023-11-10,0.9635990429546707,True
2023-11-13,0.9611284941672501,True
2023-11-14,0.9632422646756048,True
2023-11-15,0.9664415726483072,True
2023-11-16,0.9646678026087944,True
2023-11-17,0.9687932444385973,True
2023-11-20,0.9684610387989228,True
2023-11-21,0.9625199941741522,True
2023-11-22,0.9722775205338716,True
2023-11-23,0.9982155116676005,True
2023-11-24,0.9835372901534096,True
2023-11-27,0.9746092529191783,True
2023-11-28,0.983405867634309,True
2023-11-29,1.0152422288684764,False
2023-11-30,0.9876608008190425,True
2023-12-01,0.9667008407119314,True
2023-12-04,0.9587835745658477,True
2023-12-05,0.9811352831613736,True
2023-12-06,0.9765023357220223,True
2023-12-07,0.969367067966813,True
2023-12-08,0.9659734041656338,True
2023-12-11,0.9636050026643099,True
2023-12-12,0.9781007369469313,True
2023-12-13,0.9764953083613002,True
2023-12-14,0.9723118668101635,True
2023-12-15,0.974757254603748,True
2023-12-18,0.974202720040328,True
2023-12-19,0.9703639260230872,True
2023-12-20,0.9723855743650324,True
2023-12-21,0.976402772219333,True
2023-12-22,0.9741964715519128,True
2023-12-25,0.9844881552264027,True
2023-12-26,1.0184724625302508,False
2023-12-27,1.0124553021230767,False
2023-12-28,1.0061998600893054,False
2023-12-29,1.024358070089031,False
2024-01-02,1.029332310020569,False
2024-01-03,1.0190574277204492,False
2024-01-04,1.0180775470384256,False
2024-01-05,1.0125128154717637,False
2024-01-08,1.0027816021519267,False
2024-01-09,1.0041953389182323,False
2024-01-10,1.002899763397258,False
2024-01-11,0.9966436040090626,True
2024-01-12,0.9985418646672369,True
2024-01-15,1.0026092451795636,False
2024-01-16,1.0019765395793427,False
2024-01-17,0.9971534521821465,True
2024-01-18,0.995348265274866,True
2024-01-19,0.9930775489467704,True
2024-01-22,0.9920524158836849,True
2024-01-23,0.9947195274410626,True
2024-01-24,0.9932282242774978,True
2024-01-25,0.9903676598954053,True
2024-01-26,0.9885354339509066,True
2024-01-29,0.9883275598597814,True
2024-01-30,0.9866695668338047,True
2024-01-31,0.9875058070915567,True
2024-02-01,0.9864923179156659,True
2024-02-02,0.9874803730168117,True
2024-02-05,0.986069102656754,True
2024-02-06,0.98521332671761,True
