,value
lambda_beta,0.999
kappa_sigma,0.96
horizon,20.0
stable_share,0.9812583668005355
unstable_periods,14.0
max_spectral_radius,1.0268512230532167
mean_tci,13.26220614376212
final_tci,5.546339639815234
mean_net_BTC,3.5958725935380813
mean_net_SJC,5.748420625828906
mean_net_VNINDEX,-9.344293219366984
final_net_BTC,-4.08121068048427
final_net_SJC,7.058497645108608
final_net_VNINDEX,-2.9772869646243594
